ID,Name,Cadre,Reference_Value,Qualification,Subject,Category_of_Subject,Division
BH025200,Shri Anil Kumar Upadhyay,Bihar,2,A.M.I.E.,Mech.engg.,"Engineering, Technology and Mathematics",First
BH025300,Dr. Birendra Kumar Sinha,Bihar,0,Graduate,History,Social Science and Liberal Arts,First
BH025300,Dr. Birendra Kumar Sinha,Bihar,1,P.G.,Economics,Social Science and Liberal Arts,First
BH025300,Dr. Birendra Kumar Sinha,Bihar,2,LL.B.,Law,"Governance, Law and Management",Second
BH025300,Dr. Birendra Kumar Sinha,Bihar,3,M.Phil.,Economics,Social Science and Liberal Arts,Pass
BH025400,Shri Raj Kumar Singh,Bihar,0,Graduate,English Lit,Languages and Fine Arts,Second
BH025400,Shri Raj Kumar Singh,Bihar,1,P.G.,Economics,Social Science and Liberal Arts,Ordinary
BH025500,Shri Navin Kumar,Bihar,0,Graduate,Physics,Natural Sciences,First
BH025500,Shri Navin Kumar,Bihar,1,P.G.,Physics,Natural Sciences,First
BH025700,Dr. Suraj Prakash Seth,Bihar,0,Graduate,Physics,Natural Sciences,First
BH025700,Dr. Suraj Prakash Seth,Bihar,1,P.G.,Physics,Natural Sciences,First
BH025700,Dr. Suraj Prakash Seth,Bihar,2,Ph. D.,Physics,Natural Sciences,-
BH025700,Dr. Suraj Prakash Seth,Bihar,3,LL.B.,Law,"Governance, Law and Management",Second
BH025800,Shri N S Madhavan,Bihar,0,Graduate,Economics,Social Science and Liberal Arts,Second
BH025800,Shri N S Madhavan,Bihar,1,P.G.,Economics,Social Science and Liberal Arts,Second
BH025900,Ms. Sd Berwa,Bihar,0,Graduate,English Lit,Languages and Fine Arts,Second
BH026000,Shri Kirti Chandra Saha,Bihar,0,Diploma,French,Languages and Fine Arts,-
BH026000,Shri Kirti Chandra Saha,Bihar,1,Diploma,Public Admn,"Governance, Law and Management",-
BH026000,Shri Kirti Chandra Saha,Bihar,2,Graduate,Physics,Natural Sciences,First
BH026000,Shri Kirti Chandra Saha,Bihar,3,LL.B.,Law,"Governance, Law and Management",-
BH026000,Shri Kirti Chandra Saha,Bihar,4,P.G.,Physics,Natural Sciences,First
BH026102,Shri Banshidar Singh,Bihar,0,Graduate,English,Languages and Fine Arts,Second
BH026102,Shri Banshidar Singh,Bihar,1,P.G.,Political Sc.,Social Science and Liberal Arts,First
BH026106,Shri Sk Chakraverti,Bihar,0,Graduate,Economics,Social Science and Liberal Arts,Ordinary
BH026106,Shri Sk Chakraverti,Bihar,1,P.G.,Economics,Social Science and Liberal Arts,Ordinary
BH026107,Shri Tk Mishra,Bihar,0,Graduate,Law,"Governance, Law and Management",First
BH026107,Shri Tk Mishra,Bihar,1,Graduate,Political Sc.,Social Science and Liberal Arts,Second
BH026108,Shri Rl Shukla,Bihar,0,N.A.,N.A.,N.A.,Ordinary
BH026109,Shri Ar Sarangi,Bihar,0,Graduate,Economics,Social Science and Liberal Arts,Second
BH026109,Shri Ar Sarangi,Bihar,1,Graduate,Law,"Governance, Law and Management",Second
BH026109,Shri Ar Sarangi,Bihar,2,P.G.,Economics,Social Science and Liberal Arts,Second
BH026111,Shri Md Oqaish,Bihar,0,Graduate,Botany,Natural Sciences,Second
BH026113,Shri U Dutta Choubey,Bihar,0,Graduate,Economics,Social Science and Liberal Arts,Second
BH026113,Shri U Dutta Choubey,Bihar,1,Graduate,Law,"Governance, Law and Management",First
UD037100,Shri Indu Kumar Pande,Uttarakhand,0,Graduate,Physics,Natural Sciences,First
UD037100,Shri Indu Kumar Pande,Uttarakhand,1,P.G.,Physics,Natural Sciences,First
UD037800,Shri Subbaroyan Krishnan,Uttarakhand,0,Graduate,Chemical Engg,"Engineering, Technology and Mathematics",First
UD037800,Shri Subbaroyan Krishnan,Uttarakhand,1,P.G.,Social Sciences,Social Science and Liberal Arts,-
UD038100,Shri Om Prakash Arya,Uttarakhand,0,Diploma,Forestry,Others,Ordinary
UD038100,Shri Om Prakash Arya,Uttarakhand,1,Graduate,Zoology,Natural Sciences,Second
UD038100,Shri Om Prakash Arya,Uttarakhand,2,P.G.,Chemistry,Natural Sciences,First
UP037200,Shri P. C. Chaturvedi,Uttar Pradesh,0,Diploma,Planning.,"Governance, Law and Management",-
UP037200,Shri P. C. Chaturvedi,Uttar Pradesh,1,Graduate,Physics,Natural Sciences,First
UP037200,Shri P. C. Chaturvedi,Uttar Pradesh,2,P.G.,Physics,Natural Sciences,First
UP037300,Shri Rakesh Kumar Mittal,Uttar Pradesh,0,Graduate,Mech.engg.,"Engineering, Technology and Mathematics",First
UP037400,Shri Pankaj Kumar,Uttar Pradesh,0,Graduate,Physics,Natural Sciences,First
UP037400,Shri Pankaj Kumar,Uttar Pradesh,1,P.G.,History,Social Science and Liberal Arts,Ordinary
UP037500,Shri Nageshwar Nath Upadhyaya,Uttar Pradesh,0,Graduate,Chemistry,Natural Sciences,First
UP037500,Shri Nageshwar Nath Upadhyaya,Uttar Pradesh,1,P.G.,Botany,Natural Sciences,First
UP037700,Ms. Jayati Chandra,Uttar Pradesh,0,Graduate,English Lit,Languages and Fine Arts,Second
UP037700,Ms. Jayati Chandra,Uttar Pradesh,1,P.G.,English Lit,Languages and Fine Arts,First
UP037900,Shri K Chandramouli,Uttar Pradesh,0,Graduate,Physics,Natural Sciences,Second
UP037900,Shri K Chandramouli,Uttar Pradesh,1,P.G.,Chemistry,Natural Sciences,First
UP038200,Shri Rajendra Bhonwal,Uttar Pradesh,0,Graduate,Sociology,Social Science and Liberal Arts,Second
UP038302,Dr. Yash Pal Singh,Uttar Pradesh,0,Diploma,Agriculture,Others,Ordinary
UP038302,Dr. Yash Pal Singh,Uttar Pradesh,1,Graduate,Agriculture,Others,First
UP038302,Dr. Yash Pal Singh,Uttar Pradesh,2,P.G.,Agronomy,Natural Sciences,First
UP038302,Dr. Yash Pal Singh,Uttar Pradesh,3,Ph. D.,Soil Science,Natural Sciences,Ordinary
UT011300,Ms. Kiran Dhingra,A G M U T,0,Graduate,English,Languages and Fine Arts,First
UT011300,Ms. Kiran Dhingra,A G M U T,1,P.G.,English Lit,Languages and Fine Arts,First
UT011500,Shri Rakesh Mehta,A G M U T,0,Diploma,N.A.,N.A.,Pass
UT011500,Shri Rakesh Mehta,A G M U T,1,Graduate,History,Social Science and Liberal Arts,Second
UT011500,Shri Rakesh Mehta,A G M U T,2,P.G.,History,Social Science and Liberal Arts,First
UT011500,Shri Rakesh Mehta,A G M U T,3,P.G.,Social Pol&planning -uk,"Governance, Law and Management",First
UT011600,Shri Pradip Mehra,A G M U T,0,Graduate,History,Social Science and Liberal Arts,Third
UT011600,Shri Pradip Mehra,A G M U T,1,P.G.,English,Languages and Fine Arts,Second
UT011700,Shri Parkash Chander,A G M U T,0,Graduate,English,Languages and Fine Arts,Second
UT011700,Shri Parkash Chander,A G M U T,1,LL.B.,Law,"Governance, Law and Management",Second
UT011700,Shri Parkash Chander,A G M U T,2,P.G.,Political Sc.,Social Science and Liberal Arts,Second
