ID,Name,Cadre,Reference_Value,Qualification,Subject,Category_of_Subject,Division
TN003700,Ms. Anna R Malhotra,Tamil Nadu,0,Graduate,English Lit,Languages and Fine Arts,Ordinary
TN003700,Ms. Anna R Malhotra,Tamil Nadu,1,P.G.,N.A.,N.A.,First
UP011100,Shri Pk Kaul,Uttar Pradesh,0,Certificate,French,Languages and Fine Arts,Ordinary
UP011100,Shri Pk Kaul,Uttar Pradesh,1,Graduate,Physics,Natural Sciences,Second
UP011100,Shri Pk Kaul,Uttar Pradesh,2,P.G.,Economic Dev.,Social Science and Liberal Arts,Ordinary
UP011100,Shri Pk Kaul,Uttar Pradesh,3,P.G.,Economics,Social Science and Liberal Arts,Second
MH006800,Shri B G Deshmukh,Maharashtra,0,Graduate,Botany,Natural Sciences,Ordinary
TN003900,Shri Ram Chander,Tamil Nadu,0,Graduate,Law,"Governance, Law and Management",Third
TN003900,Shri Ram Chander,Tamil Nadu,1,P.G.,Mathematics,"Engineering, Technology and Mathematics",First
AP004800,Shri Gv Ramakrishna,Andhra Pradesh,0,Graduate,Chemistry,Natural Sciences,First
AP004800,Shri Gv Ramakrishna,Andhra Pradesh,1,P.G.,Chemistry,Natural Sciences,First
BH005400,Shri N Nagamani,Bihar,0,Graduate,Mathematics,"Engineering, Technology and Mathematics",First
BH005400,Shri N Nagamani,Bihar,1,P.G.,Statistics,"Engineering, Technology and Mathematics",First
BH005600,Shri Pp Nayyar,Bihar,0,Graduate,Physics,Natural Sciences,First
BH005600,Shri Pp Nayyar,Bihar,1,P.G.,Mathematics,"Engineering, Technology and Mathematics",First
GJ003000,Shri M Sivagnanam,Gujarat,0,Graduate,Economics,Social Science and Liberal Arts,Second
GJ003000,Shri M Sivagnanam,Gujarat,1,P.G.,Economics,Social Science and Liberal Arts,Second
UP011500,Shri Pc Saxena,Uttar Pradesh,0,Certificate,German,Languages and Fine Arts,Ordinary
UP011500,Shri Pc Saxena,Uttar Pradesh,1,Graduate,English Lit,Languages and Fine Arts,Second
UP011500,Shri Pc Saxena,Uttar Pradesh,2,P.G.,Philosophy,Social Science and Liberal Arts,First
UP011600,Dr. Ss Sidhu,Uttar Pradesh,0,Certificate,French,Languages and Fine Arts,Ordinary
UP011600,Dr. Ss Sidhu,Uttar Pradesh,1,Graduate,Economics,Social Science and Liberal Arts,First
UP011600,Dr. Ss Sidhu,Uttar Pradesh,2,P.G.,Economics,Social Science and Liberal Arts,First
UP011600,Dr. Ss Sidhu,Uttar Pradesh,3,Ph. D.,Economics,Social Science and Liberal Arts,Ordinary
KL002000,Shri T Madhava Menon,Kerala,0,Graduate,Economics,Social Science and Liberal Arts,Second
KL002000,Shri T Madhava Menon,Kerala,1,P.G.,Economics,Social Science and Liberal Arts,First
KN004100,Shri T R Satish Chandran,Karnataka,0,Diploma,Economics,Social Science and Liberal Arts,Ordinary
KN004100,Shri T R Satish Chandran,Karnataka,1,Graduate,Physics,Natural Sciences,First
RJ003900,Shri Br Bahadur,Rajasthan,0,Graduate,English Lit,Languages and Fine Arts,First
RJ003900,Shri Br Bahadur,Rajasthan,1,P.G.,English Lit,Languages and Fine Arts,Second
RJ004000,Shri Mm Kohli,Rajasthan,0,Graduate,Political Sc.,Social Science and Liberal Arts,Ordinary
RJ004000,Shri Mm Kohli,Rajasthan,1,P.G.,Economics,Social Science and Liberal Arts,Ordinary
AM002500,Ms. P P Trivedi,Assam Meghalya,0,Graduate,Mathematics,"Engineering, Technology and Mathematics",First
AM002500,Ms. P P Trivedi,Assam Meghalya,1,P.G.,Mathematics,"Engineering, Technology and Mathematics",First
AP005200,Shri Shravan Kumar,Andhra Pradesh,0,Graduate,Economics,Social Science and Liberal Arts,First
AP005200,Shri Shravan Kumar,Andhra Pradesh,1,P.G.,Economics,Social Science and Liberal Arts,First
BH007100,Shri Cr Vaidyanathan,Bihar,0,Graduate,Economics,Social Science and Liberal Arts,First
BH007100,Shri Cr Vaidyanathan,Bihar,1,P.G.,Economics,Social Science and Liberal Arts,First
BH007200,Shri Vinod Kumar,Bihar,0,Certificate,Development Economics,Social Science and Liberal Arts,Ordinary
BH007200,Shri Vinod Kumar,Bihar,1,Diploma,German,Languages and Fine Arts,Ordinary
BH007200,Shri Vinod Kumar,Bihar,2,Graduate,Civil Engg,"Engineering, Technology and Mathematics",First
BH007200,Shri Vinod Kumar,Bihar,3,Graduate,Physics,Natural Sciences,First
GJ003900,Ms. R M Shroff,Gujarat,0,Graduate,Economics,Social Science and Liberal Arts,Second
GJ003900,Ms. R M Shroff,Gujarat,1,P.G.,Economics,Social Science and Liberal Arts,First
UP013500,Shri Rp Khosla,Uttar Pradesh,0,Graduate,History,Social Science and Liberal Arts,Second
UP013600,Shri Sk Bhatnagar,Uttar Pradesh,0,Graduate,Accountancy,Finance,Second
UP013600,Shri Sk Bhatnagar,Uttar Pradesh,1,P.G.,Economics,Social Science and Liberal Arts,First
WB006000,Shri Cn Penn Anthony,West Bengal,0,Graduate,English Lit,Languages and Fine Arts,First
WB006100,Shri Bc Mukherjee,West Bengal,0,Graduate,Commerce,Finance,Second
WB006100,Shri Bc Mukherjee,West Bengal,1,Graduate,Economics,Social Science and Liberal Arts,Second
WB006100,Shri Bc Mukherjee,West Bengal,2,P.G.,History,Social Science and Liberal Arts,Second
WB006200,Shri Mn Chaudhuri,West Bengal,0,Diploma,Public Admn,"Governance, Law and Management",Ordinary
WB006200,Shri Mn Chaudhuri,West Bengal,1,Graduate,Economics,Social Science and Liberal Arts,Second
WB006200,Shri Mn Chaudhuri,West Bengal,2,P.G.,Economics,Social Science and Liberal Arts,Second
WB006200,Shri Mn Chaudhuri,West Bengal,3,P.G.,Public Admn,"Governance, Law and Management",Ordinary
HP000500,Shri Kc Pandeya,Himachal Pradesh,0,Graduate,History,Social Science and Liberal Arts,First
HP000500,Shri Kc Pandeya,Himachal Pradesh,1,P.G.,History,Social Science and Liberal Arts,First
HY002400,Shri Pp Caprihan,Haryana,0,Graduate,Physics,Natural Sciences,First
HY002400,Shri Pp Caprihan,Haryana,1,P.G.,Mathematics,"Engineering, Technology and Mathematics",First
KL002200,Shri R Gopalaswamy,Kerala,0,Graduate,Mathematics,"Engineering, Technology and Mathematics",First
KN004600,Shri Pr Dubhashi,Karnataka,0,Diploma,Economics,Social Science and Liberal Arts,Ordinary
KN004600,Shri Pr Dubhashi,Karnataka,1,Graduate,Economics,Social Science and Liberal Arts,Second
KN004600,Shri Pr Dubhashi,Karnataka,2,P.G.,Economics,Social Science and Liberal Arts,First
OR004400,Shri Cg Somiah,Odisha,0,Graduate,Chemistry,Natural Sciences,Ordinary
TN004100,Shri S Venkitaramnan,Tamil Nadu,0,Graduate,Physics,Natural Sciences,First
TN004100,Shri S Venkitaramnan,Tamil Nadu,1,P.G.,Physics,Natural Sciences,First
MH007900,Shri B K Chougule,Maharashtra,0,Graduate,Economics,Social Science and Liberal Arts,First
MH007900,Shri B K Chougule,Maharashtra,1,Graduate,Law,"Governance, Law and Management",Second
MH008000,Shri V T Chari,Maharashtra,0,Graduate,Mathematics,"Engineering, Technology and Mathematics",First
MH008000,Shri V T Chari,Maharashtra,1,P.G.,Mathematics,"Engineering, Technology and Mathematics",First
MP007400,Shri Sl Sharma,Madhya Pradesh,0,Graduate,English,Languages and Fine Arts,First
MP007400,Shri Sl Sharma,Madhya Pradesh,1,Graduate,Law,"Governance, Law and Management",First
MP007400,Shri Sl Sharma,Madhya Pradesh,2,P.G.,History,Social Science and Liberal Arts,First
OR004500,Shri Li Parija,Odisha,0,Graduate,Physics,Natural Sciences,Ordinary
OR004500,Shri Li Parija,Odisha,1,P.G.,Chemistry,Natural Sciences,Ordinary
TN004600,Shri Cvs Mani,Tamil Nadu,0,Graduate,Hindi,Languages and Fine Arts,First
TN004600,Shri Cvs Mani,Tamil Nadu,1,P.G.,Physics,Natural Sciences,First
AP005900,Shri Gr Nair,Andhra Pradesh,0,Graduate,History,Social Science and Liberal Arts,Second
AP006000,Shri B K Rao,Andhra Pradesh,0,Graduate,Geology,Natural Sciences,Ordinary
AP006000,Shri B K Rao,Andhra Pradesh,1,P.G.,Petrology,Natural Sciences,Ordinary
AP006100,Shri Mg Krishnan,Andhra Pradesh,0,Graduate,Economics,Social Science and Liberal Arts,First
AP006100,Shri Mg Krishnan,Andhra Pradesh,1,P.G.,Economics,Social Science and Liberal Arts,First
AP006500,Shri Ka Ansari,Andhra Pradesh,0,Graduate,Philosophy,Social Science and Liberal Arts,Ordinary
AP006500,Shri Ka Ansari,Andhra Pradesh,1,P.G.,Philosophy,Social Science and Liberal Arts,Ordinary
BH008800,Shri K Ramanujam,Bihar,0,Graduate,Statistics,"Engineering, Technology and Mathematics",First
BH008800,Shri K Ramanujam,Bihar,1,P.G.,Commerce,Finance,Second
BH008900,Shri Ishwari Prasad,Bihar,0,Diploma,Sociology,Social Science and Liberal Arts,First
BH008900,Shri Ishwari Prasad,Bihar,1,Graduate,Economics,Social Science and Liberal Arts,Second
BH008900,Shri Ishwari Prasad,Bihar,2,P.G.,Economics,Social Science and Liberal Arts,Second
BH009000,Shri U Vaidyanathan,Bihar,0,Graduate,Economics,Social Science and Liberal Arts,First
BH009000,Shri U Vaidyanathan,Bihar,1,P.G.,Economics,Social Science and Liberal Arts,First
BH009000,Shri U Vaidyanathan,Bihar,2,P.G.,Political Sc.,Social Science and Liberal Arts,First
BH009100,Shri S S Dhanoa,Bihar,0,Graduate,Chemistry,Natural Sciences,Third
BH009100,Shri S S Dhanoa,Bihar,1,Graduate,Law,"Governance, Law and Management",Second
BH009100,Shri S S Dhanoa,Bihar,2,P.G.,Political Sc.,Social Science and Liberal Arts,Second
UP015300,Shri Prem Kumar,Uttar Pradesh,0,Graduate,Mathematics,"Engineering, Technology and Mathematics",First
UP015300,Shri Prem Kumar,Uttar Pradesh,1,P.G.,Mathematics,"Engineering, Technology and Mathematics",First
UP015400,Shri Svs Juneja,Uttar Pradesh,0,Graduate,History,Social Science and Liberal Arts,Second
UP015400,Shri Svs Juneja,Uttar Pradesh,1,P.G.,Economics,Social Science and Liberal Arts,Ordinary
UP015600,Shri Anand Sarup,Uttar Pradesh,0,Graduate,Economics,Social Science and Liberal Arts,Ordinary
UP015600,Shri Anand Sarup,Uttar Pradesh,1,P.G.,English Lit,Languages and Fine Arts,Ordinary
UT000400,Shri R M Agrawal,A G M U T,0,Diploma,Intnl.affairs,"Governance, Law and Management",Ordinary
UT000400,Shri R M Agrawal,A G M U T,1,Graduate,Economics,Social Science and Liberal Arts,Second
UT000400,Shri R M Agrawal,A G M U T,2,Graduate,Law,"Governance, Law and Management",First
UT000400,Shri R M Agrawal,A G M U T,3,P.G.,Economics,Social Science and Liberal Arts,Second
WB007000,Shri Ss Varma,West Bengal,0,Graduate,Civil Engg,"Engineering, Technology and Mathematics",First
WB007000,Shri Ss Varma,West Bengal,1,Graduate,Physics,Natural Sciences,Second
HY002600,Shri Lc Gupta,Haryana,0,Graduate,Mathematics,"Engineering, Technology and Mathematics",Second
HY002600,Shri Lc Gupta,Haryana,1,P.G.,English,Languages and Fine Arts,Third
KL002600,Shri V Ramachandran,Kerala,0,Graduate,Geology,Natural Sciences,First
KL002600,Shri V Ramachandran,Kerala,1,P.G.,Development Economics,Social Science and Liberal Arts,Ordinary
KL002600,Shri V Ramachandran,Kerala,2,P.G.,Geology,Natural Sciences,Ordinary
KL002600,Shri V Ramachandran,Kerala,3,P.G.,Petrology,Natural Sciences,Ordinary
KN004800,Shri Ab Datar,Karnataka,0,Graduate,Commerce,Finance,First
KN004800,Shri Ab Datar,Karnataka,1,Graduate,Law,"Governance, Law and Management",First
KN004900,Shri S Varadan,Karnataka,0,Graduate,Mathematics,"Engineering, Technology and Mathematics",First
OR005500,Shri Js Baijal,Odisha,0,Graduate,Economics,Social Science and Liberal Arts,Second
OR005500,Shri Js Baijal,Odisha,1,P.G.,Economics,Social Science and Liberal Arts,Ordinary
WB006800,Ms. Roma Mazumdar,West Bengal,0,Graduate,English,Languages and Fine Arts,Second
MH008100,Shri A D Samant,Maharashtra,0,Graduate,Economics,Social Science and Liberal Arts,First
MH008100,Shri A D Samant,Maharashtra,1,P.G.,Economics,Social Science and Liberal Arts,First
MH008300,Shri S Ramakrishna,Maharashtra,0,Diploma,Electrical Engg.,"Engineering, Technology and Mathematics",Ordinary
MH008300,Shri S Ramakrishna,Maharashtra,1,Graduate,Law,"Governance, Law and Management",Ordinary
MH008300,Shri S Ramakrishna,Maharashtra,2,Graduate,Mathematics,"Engineering, Technology and Mathematics",Ordinary
MH008300,Shri S Ramakrishna,Maharashtra,3,P.G.,Economics,Social Science and Liberal Arts,First
MH008400,Shri K K Uppal,Maharashtra,0,Graduate,English Lit,Languages and Fine Arts,Second
MH008400,Shri K K Uppal,Maharashtra,1,P.G.,English Lit,Languages and Fine Arts,Second
MP007800,Shri B Swarup,Madhya Pradesh,0,Graduate,English,Languages and Fine Arts,Second
MP007800,Shri B Swarup,Madhya Pradesh,1,P.G.,Economics,Social Science and Liberal Arts,Second
MP007900,Shri Rn Chopra,Madhya Pradesh,0,Graduate,Zoology,Natural Sciences,Second
MP007900,Shri Rn Chopra,Madhya Pradesh,1,P.G.,Geology,Natural Sciences,First
MP008000,Dr. Kcs Acharya,Madhya Pradesh,0,Graduate,Commerce,Finance,Second
MP008000,Dr. Kcs Acharya,Madhya Pradesh,1,P.G.,Commerce,Finance,First
MP008000,Dr. Kcs Acharya,Madhya Pradesh,2,Ph. D.,Economics,Social Science and Liberal Arts,Ordinary
MP008100,Shri Ms Singh Deo,Madhya Pradesh,0,Graduate,Economics,Social Science and Liberal Arts,Second
MP008100,Shri Ms Singh Deo,Madhya Pradesh,1,P.G.,History,Social Science and Liberal Arts,Second
OR005300,Shri C Venkataramani,Odisha,0,Graduate,Chemistry,Natural Sciences,First
OR005300,Shri C Venkataramani,Odisha,1,P.G.,Chemistry,Natural Sciences,First
OR005400,Shri Nk Panda,Odisha,0,Graduate,Economics,Social Science and Liberal Arts,First
OR005400,Shri Nk Panda,Odisha,1,P.G.,Economics,Social Science and Liberal Arts,Second
OR005600,Shri P S H Mohamed,Odisha,0,Graduate,English Lit,Languages and Fine Arts,First
PB002600,Shri P K Kathpalia,Punjab,0,Graduate,English,Languages and Fine Arts,First
PB002600,Shri P K Kathpalia,Punjab,1,P.G.,English,Languages and Fine Arts,Second
RJ005900,Shri Mohan Lal Anand,Rajasthan,0,Graduate,Physics,Natural Sciences,First
RJ005900,Shri Mohan Lal Anand,Rajasthan,1,P.G.,Physics,Natural Sciences,First
TN005600,Shri Tn Seshan,Tamil Nadu,0,Graduate,Physics,Natural Sciences,First
TN005600,Shri Tn Seshan,Tamil Nadu,1,P.G.,Public Admn,"Governance, Law and Management",First
TN005700,Shri Pn Vedanaraynan,Tamil Nadu,0,P.G.,Economics,Social Science and Liberal Arts,Second
TN005700,Shri Pn Vedanaraynan,Tamil Nadu,1,P.G.,Political Sc.,Social Science and Liberal Arts,Second
TN005800,Shri As Ahluwalia,Tamil Nadu,0,Graduate,Economics,Social Science and Liberal Arts,Second
TN005800,Shri As Ahluwalia,Tamil Nadu,1,P.G.,Economics,Social Science and Liberal Arts,Second
AP006700,Shri K Subramanyam,Andhra Pradesh,0,Graduate,Law,"Governance, Law and Management",Second
AP006700,Shri K Subramanyam,Andhra Pradesh,1,Graduate,Physics,Natural Sciences,Third
AP006800,Shri V K Dar,Andhra Pradesh,0,Graduate,Economics,Social Science and Liberal Arts,Second
AP006800,Shri V K Dar,Andhra Pradesh,1,P.G.,Philosophy,Social Science and Liberal Arts,First
AP006900,Shri V P Ramarao,Andhra Pradesh,0,Graduate,Economics,Social Science and Liberal Arts,First
AP006900,Shri V P Ramarao,Andhra Pradesh,1,Graduate,Law,"Governance, Law and Management",Second
AP007000,Shri Spb Subramanian,Andhra Pradesh,0,Graduate,Chemistry,Natural Sciences,Ordinary
AP007000,Shri Spb Subramanian,Andhra Pradesh,1,P.G.,Chemistry,Natural Sciences,First
AP007100,Shri Kvss Narayana,Andhra Pradesh,0,Graduate,Accountancy,Finance,Second
AP007100,Shri Kvss Narayana,Andhra Pradesh,1,Graduate,Law,"Governance, Law and Management",First
AP007100,Shri Kvss Narayana,Andhra Pradesh,2,P.G.,Accountancy,Finance,Second
AP007200,Shri D S Guruswamy,Andhra Pradesh,0,Graduate,Physics,Natural Sciences,Second
AP007200,Shri D S Guruswamy,Andhra Pradesh,1,P.G.,Physics,Natural Sciences,First
AP007400,Shri Narendra Luther,Andhra Pradesh,0,Graduate,Economics,Social Science and Liberal Arts,First
AP007400,Shri Narendra Luther,Andhra Pradesh,1,P.G.,Economics,Social Science and Liberal Arts,Ordinary
BH009500,Shri Ps Kohli,Bihar,0,Graduate,Chemistry,Natural Sciences,First
BH009500,Shri Ps Kohli,Bihar,1,P.G.,Chemistry,Natural Sciences,First
BH009600,Shri R Srinivasan,Bihar,0,Graduate,Economics,Social Science and Liberal Arts,First
BH009600,Shri R Srinivasan,Bihar,1,P.G.,Economic Dev.,Social Science and Liberal Arts,Ordinary
BH009800,Shri Ss Sharan,Bihar,0,Graduate,Economics,Social Science and Liberal Arts,Second
BH009900,Shri Vv Nathan,Bihar,0,Graduate,Physics,Natural Sciences,Second
BH009900,Shri Vv Nathan,Bihar,1,P.G.,Economics,Social Science and Liberal Arts,Ordinary
GJ004100,Shri Rv Chandramaoul,Gujarat,0,Graduate,Mathematics,"Engineering, Technology and Mathematics",Second
GJ004200,Ms. S L Singla,Gujarat,0,Graduate,Mathematics,"Engineering, Technology and Mathematics",First
GJ004200,Ms. S L Singla,Gujarat,1,P.G.,English Lit,Languages and Fine Arts,Second
UP017300,Shri Gn Mehra,Uttar Pradesh,0,Graduate,History,Social Science and Liberal Arts,First
UP017300,Shri Gn Mehra,Uttar Pradesh,1,Graduate,Law,"Governance, Law and Management",First
UP017300,Shri Gn Mehra,Uttar Pradesh,2,P.G.,History,Social Science and Liberal Arts,First
UP017400,Shri Jak Krishnan,Uttar Pradesh,0,Diploma,German,Languages and Fine Arts,First
UP017400,Shri Jak Krishnan,Uttar Pradesh,1,Graduate,Chemistry,Natural Sciences,Second
UP017400,Shri Jak Krishnan,Uttar Pradesh,2,P.G.,Physical Chem,Natural Sciences,Second
UP017500,Shri Pc Jain,Uttar Pradesh,0,Graduate,Economics,Social Science and Liberal Arts,Second
UP017500,Shri Pc Jain,Uttar Pradesh,1,Graduate,Law,"Governance, Law and Management",First
UP017500,Shri Pc Jain,Uttar Pradesh,2,P.G.,Economics,Social Science and Liberal Arts,Second
UT000600,Shri K Banerji,A G M U T,0,N.A.,N.A.,N.A.,Ordinary
WB007500,Shri D Bandhopadhyay,West Bengal,0,Graduate,Economics,Social Science and Liberal Arts,First
WB007500,Shri D Bandhopadhyay,West Bengal,1,P.G.,Economics,Social Science and Liberal Arts,First
WB007600,Shri Dw Telang,West Bengal,0,Diploma,Indl.mgt,"Governance, Law and Management",Ordinary
WB007600,Shri Dw Telang,West Bengal,1,Graduate,Economics,Social Science and Liberal Arts,First
WB007600,Shri Dw Telang,West Bengal,2,Graduate,Law,"Governance, Law and Management",First
WB007600,Shri Dw Telang,West Bengal,3,P.G.,Economics,Social Science and Liberal Arts,Ordinary
WB007700,Shri A Choudhuri,West Bengal,0,Graduate,History,Social Science and Liberal Arts,Second
WB007700,Shri A Choudhuri,West Bengal,1,Graduate,Law,"Governance, Law and Management",Ordinary
WB007700,Shri A Choudhuri,West Bengal,2,P.G.,Political Sc.,Social Science and Liberal Arts,Second
WB007800,Shri Rn Sen Gupta,West Bengal,0,Graduate,History,Social Science and Liberal Arts,Second
WB007800,Shri Rn Sen Gupta,West Bengal,1,P.G.,History,Social Science and Liberal Arts,Second
KL002900,Shri S Narayanaswamy,Kerala,0,Graduate,Chemistry,Natural Sciences,First
KL002900,Shri S Narayanaswamy,Kerala,1,P.G.,Chemistry,Natural Sciences,First
KN005300,Shri Ksn Murthy,Karnataka,0,Graduate,Botany,Natural Sciences,First
KN005300,Shri Ksn Murthy,Karnataka,1,P.G.,Botany,Natural Sciences,First
AM003800,Shri J C Nampui,Assam Meghalya,0,Graduate,English,Languages and Fine Arts,First
OR006000,Shri Tu V Sekharan,Odisha,0,Graduate,Economics,Social Science and Liberal Arts,Second
MH008900,Shri K S R Krishnan,Maharashtra,0,Graduate,Physics,Natural Sciences,First
MH008900,Shri K S R Krishnan,Maharashtra,1,P.G.,Mathematics,"Engineering, Technology and Mathematics",First
MH008900,Shri K S R Krishnan,Maharashtra,2,P.G.,Physics,Natural Sciences,Ordinary
MH009100,Shri John Innocent,Maharashtra,0,Graduate,Chemistry,Natural Sciences,First
MH009300,Shri Kg Paranjpe,Maharashtra,0,Graduate,Law,"Governance, Law and Management",Second
MH009300,Shri Kg Paranjpe,Maharashtra,1,Graduate,Philosophy,Social Science and Liberal Arts,First
MP008800,Shri S C Vaish,Madhya Pradesh,0,Certificate,French,Languages and Fine Arts,Ordinary
MP008800,Shri S C Vaish,Madhya Pradesh,1,Graduate,History,Social Science and Liberal Arts,Second
MP008800,Shri S C Vaish,Madhya Pradesh,2,Graduate,Law,"Governance, Law and Management",Ordinary
MP008800,Shri S C Vaish,Madhya Pradesh,3,P.G.,Economics,Social Science and Liberal Arts,First
MP008900,Shri Mk Chaturvedi,Madhya Pradesh,0,Graduate,History,Social Science and Liberal Arts,First
MP009000,Shri Rs Khanna,Madhya Pradesh,0,Graduate,Economics,Social Science and Liberal Arts,Second
MP009000,Shri Rs Khanna,Madhya Pradesh,1,P.G.,Economics,Social Science and Liberal Arts,First
MP009100,Shri Nv Krishnan,Madhya Pradesh,0,Graduate,Zoology,Natural Sciences,Second
MP009300,Shri J Swarup,Madhya Pradesh,0,Graduate,Physics,Natural Sciences,First
MP009300,Shri J Swarup,Madhya Pradesh,1,P.G.,Physics,Natural Sciences,First
OR006200,Shri K Srinivasan,Odisha,0,Graduate,Commerce,Finance,Third
OR006200,Shri K Srinivasan,Odisha,1,Graduate,Economics,Social Science and Liberal Arts,Second
RJ006000,Shri Al Roongta,Rajasthan,0,Graduate,English Lit,Languages and Fine Arts,First
RJ006000,Shri Al Roongta,Rajasthan,1,P.G.,Economics,Social Science and Liberal Arts,First
RJ006100,Shri Rk Saxena,Rajasthan,0,Graduate,Commerce,Finance,First
RJ006100,Shri Rk Saxena,Rajasthan,1,Graduate,Law,"Governance, Law and Management",First
RJ006100,Shri Rk Saxena,Rajasthan,2,P.G.,Economics,Social Science and Liberal Arts,First
RJ006200,Shri Vc Pande,Rajasthan,0,Graduate,Physics,Natural Sciences,Second
RJ006200,Shri Vc Pande,Rajasthan,1,P.G.,English,Languages and Fine Arts,Second
RJ006200,Shri Vc Pande,Rajasthan,2,P.G.,Physics,Natural Sciences,Second
TN006300,Shri Cn Raghavan,Tamil Nadu,0,P.G.,Chemistry,Natural Sciences,Second
TN006400,Shri Tv Antony,Tamil Nadu,0,Graduate,Chemistry,Natural Sciences,First
TN006400,Shri Tv Antony,Tamil Nadu,1,Graduate,Law,"Governance, Law and Management",Second
TN006500,Shri Hm Singh,Tamil Nadu,0,Diploma,Punjabi,Languages and Fine Arts,Ordinary
TN006500,Shri Hm Singh,Tamil Nadu,1,Graduate,Political Sc.,Social Science and Liberal Arts,Ordinary
TN006500,Shri Hm Singh,Tamil Nadu,2,P.G.,Political Sc.,Social Science and Liberal Arts,Second
TN006600,Ms. S Satyabhama,Tamil Nadu,0,P.G.,Economics,Social Science and Liberal Arts,Second
TN006600,Ms. S Satyabhama,Tamil Nadu,1,P.G.,Political Sc.,Social Science and Liberal Arts,Second
AM004000,Shri R V Lyngdoh,Assam Meghalya,0,Graduate,Economics,Social Science and Liberal Arts,Second
AP008300,Shri P K Doraiswamy,Andhra Pradesh,0,Diploma,Statistics,"Engineering, Technology and Mathematics",Ordinary
AP008300,Shri P K Doraiswamy,Andhra Pradesh,1,Graduate,Statistics,"Engineering, Technology and Mathematics",First
AP008400,Shri K V Natarajan,Andhra Pradesh,0,Graduate,Economics,Social Science and Liberal Arts,First
AP008400,Shri K V Natarajan,Andhra Pradesh,1,P.G.,Economics,Social Science and Liberal Arts,First
AP008500,Shri C S Sastry,Andhra Pradesh,0,Graduate,Geology,Natural Sciences,First
AP008500,Shri C S Sastry,Andhra Pradesh,1,P.G.,English Lit,Languages and Fine Arts,First
AP008800,Shri T Balakrishnan,Andhra Pradesh,0,Graduate,Economics,Social Science and Liberal Arts,Second
AP008900,Shri Ajit Singh,Andhra Pradesh,0,Graduate,English,Languages and Fine Arts,Second
AP008900,Shri Ajit Singh,Andhra Pradesh,1,P.G.,English Lit,Languages and Fine Arts,Second
BH010400,Shri Arun Prasad,Bihar,0,Certificate,French,Languages and Fine Arts,Second
BH010400,Shri Arun Prasad,Bihar,1,Graduate,English Lit,Languages and Fine Arts,Second
BH010400,Shri Arun Prasad,Bihar,2,P.G.,English Lit,Languages and Fine Arts,Ordinary
GJ005000,Shri H K Khan,Gujarat,0,Graduate,Economics,Social Science and Liberal Arts,Second
GJ005100,Shri H R Patankar,Gujarat,0,Graduate,Economics,Social Science and Liberal Arts,Second
GJ005100,Shri H R Patankar,Gujarat,1,P.G.,Economics,Social Science and Liberal Arts,Second
UP018500,Shri S Sharma,Uttar Pradesh,0,Certificate,Local Self Govt,"Governance, Law and Management",Ordinary
UP018500,Shri S Sharma,Uttar Pradesh,1,Graduate,Physics,Natural Sciences,First
UP018500,Shri S Sharma,Uttar Pradesh,2,P.G.,Physics,Natural Sciences,First
WB008800,Shri Ts Broca,West Bengal,0,Graduate,English,Languages and Fine Arts,Ordinary
WB008800,Shri Ts Broca,West Bengal,1,P.G.,Economics,Social Science and Liberal Arts,Second
WB008800,Shri Ts Broca,West Bengal,2,P.G.,Political Sc.,Social Science and Liberal Arts,Second
WB008900,Shri Jk Kohli,West Bengal,0,Graduate,Economics,Social Science and Liberal Arts,Second
WB008900,Shri Jk Kohli,West Bengal,1,Graduate,Law,"Governance, Law and Management",First
WB009000,Shri Sm Murshed,West Bengal,0,Graduate,Economics,Social Science and Liberal Arts,Ordinary
WB009100,Shri Vinayak Misra,West Bengal,0,Graduate,English,Languages and Fine Arts,Second
WB009100,Shri Vinayak Misra,West Bengal,1,P.G.,English,Languages and Fine Arts,Second
WB009200,Shri Arun Sen,West Bengal,0,Graduate,Law,"Governance, Law and Management",Second
WB009200,Shri Arun Sen,West Bengal,1,Graduate,Mathematics,"Engineering, Technology and Mathematics",Second
WB009200,Shri Arun Sen,West Bengal,2,P.G.,Political Sc.,Social Science and Liberal Arts,Second
KL003200,Ms. P Ramachandran,Kerala,0,Graduate,Economics,Social Science and Liberal Arts,Second
KN005800,Shri Nkp Rao,Karnataka,0,Graduate,Mathematics,"Engineering, Technology and Mathematics",Second
KN005800,Shri Nkp Rao,Karnataka,1,P.G.,Economics,Social Science and Liberal Arts,Second
KN005800,Shri Nkp Rao,Karnataka,2,P.G.,Mathematics,"Engineering, Technology and Mathematics",Second
AP008600,Shri P S Krishnan,Andhra Pradesh,0,Graduate,Philosophy,Social Science and Liberal Arts,Second
AP008600,Shri P S Krishnan,Andhra Pradesh,1,P.G.,English Lit,Languages and Fine Arts,Second
HY003500,Shri Sk Misra,Haryana,0,Graduate,Political Sc.,Social Science and Liberal Arts,Second
HY003500,Shri Sk Misra,Haryana,1,P.G.,Political Sc.,Social Science and Liberal Arts,Second
KL003300,Shri Pk Umashankar,Kerala,0,Graduate,Geology,Natural Sciences,Second
KL003300,Shri Pk Umashankar,Kerala,1,P.G.,Geology,Natural Sciences,First
MH009900,Shri Jg Kanga,Maharashtra,0,Graduate,Law,"Governance, Law and Management",Ordinary
MH009900,Shri Jg Kanga,Maharashtra,1,Graduate,Political Sc.,Social Science and Liberal Arts,First
